id;actor1_name;actor1_gender;actor2_name;actor2_gender;actor3_name;actor3_gender;actor4_name;actor4_gender;actor5_name;actor5_gender;actor_number;director_name;director_gender;director_number;producer_name;producer_number;screeplay_name;editor_name
81;Sumi Shimamoto;0;Ichirō Nagai;0;Gorō Naya;2;Yōji Matsuda;0;Yoshiko Sakakibara;0;14;Hayao Miyazaki;2;1;Isao Takahata;1;Hayao Miyazaki;Naoki Kaneko
82;Jamie Foxx;2;Colin Farrell;2;Gong Li;1;Luis Tosar;2;Naomie Harris;1;18;Michael Mann;2;1;Michael Mann;2;none;William Goldenberg
83;Blanchard Ryan;1;Daniel Travis;2;Saul Stein;2;Michael E. Williamson;2;Christina Zenato;0;6;Chris Kentis;2;1;Laura Lau;1;none;Chris Kentis
85;Harrison Ford;2;Karen Allen;1;Paul Freeman;0;Ronald Lacey;2;John Rhys-Davies;2;50;Steven Spielberg;2;1;Frank Marshall;1;Lawrence Kasdan;George Lucas
86;Christian Ulmen;0;Moritz Bleibtreu;2;Martina Gedeck;1;Franka Potente;1;Nina Hoss;1;33;Oskar Roehler;2;1;Bernd Eichinger;2;Oskar Roehler;Peter R. Adam
87;Harrison Ford;2;Kate Capshaw;1;Jonathan Ke Quan;0;Amrish Puri;0;Roshan Seth;0;69;Steven Spielberg;2;1;Robert Watts;1;Willard Huyck;George Lucas
88;Jennifer Grey;1;Patrick Swayze;2;Jerry Orbach;2;Cynthia Rhodes;1;Jack Weston;2;27;Emile Ardolino;2;1;Linda Gottlieb;1;none;Peter C. Frank
89;Harrison Ford;2;Sean Connery;2;Denholm Elliott;2;Alison Doody;1;John Rhys-Davies;2;51;Steven Spielberg;2;1;Robert Watts;2;Jeffrey Boam;George Lucas
90;Eddie Murphy;2;Judge Reinhold;2;John Ashton;2;Ronny Cox;2;Paul Reiser;2;18;Martin Brest;2;1;Jerry Bruckheimer;2;Danilo Bach;Arthur Coburn
91;Abel Jacquin;2;Alexandre O'Neill;2;none;0;none;0;none;0;2;Luis Buñuel;2;1;Luis Buñuel;2;none;Luis Buñuel
92;Shankar Loutakke;0;none;0;none;0;none;0;none;0;1;Michael Glawogger;2;1;Erich Lackner;2;none;Andrea Wagner
93;James Stewart;2;Lee Remick;1;Ben Gazzara;2;Arthur O'Connell;2;Eve Arden;1;28;Otto Preminger;2;1;Otto Preminger;1;Wendell Mayes;Louis R. Loeffler
94;Ursula Buschhorn;0;Hans Werner Meyer;0;none;0;none;0;none;0;2;André F. Nebe;0;1;Raoul B. Reinert;1;none;Diana Karsten
95;Bruce Willis;2;Billy Bob Thornton;2;Ben Affleck;2;Liv Tyler;1;Will Patton;2;67;Michael Bay;2;1;Michael Bay;3;Robert Roy Pool;Mark Goldblatt
96;Eddie Murphy;2;Judge Reinhold;2;John Ashton;2;Ronny Cox;2;Paul Reiser;2;27;Tony Scott;2;1;Jerry Bruckheimer;2;Larry Ferguson;Chris Lebenzon
97;Jeff Bridges;2;Bruce Boxleitner;2;David Warner;2;Cindy Morgan;0;Barnard Hughes;0;12;Steven Lisberger;2;1;Harrison Ellenshaw;2;Steven Lisberger;Jeff Gourson
98;Russell Crowe;2;Joaquin Phoenix;2;Connie Nielsen;1;Oliver Reed;2;Richard Harris;2;38;Ridley Scott;2;1;David Franzoni;3;David Franzoni;Pietro Scalia
99;Cecilia Roth;1;Marisa Paredes;1;Penélope Cruz;1;Candela Peña;1;Antonia San Juan;0;27;Pedro Almodóvar;2;1;Agustín Almodóvar;2;none;José Salcedo
100;Jason Flemyng;2;Dexter Fletcher;2;Nick Moran;2;Jason Statham;2;Vinnie Jones;2;27;Guy Ritchie;2;1;Matthew Vaughn;1;Guy Ritchie;Niven Howie
101;Jean Reno;2;Natalie Portman;1;Gary Oldman;2;Danny Aiello;2;Peter Appel;2;39;Luc Besson;2;1;Patrice Ledoux;1;Luc Besson;Sylvie Landra
102;Sonja Richter;1;Nikolaj Lie Kaas;2;Mads Mikkelsen;2;Paprika Steen;0;Stine Bjerregaard;0;20;Susanne Bier;1;1;Sisse Graum Jørgensen;3;Anders Thomas Jensen;Pernille Bech Christensen
103;Robert De Niro;2;Cybill Shepherd;1;Harvey Keitel;2;Jodie Foster;1;Peter Boyle;2;30;Martin Scorsese;2;1;Julia Phillips;2;none;Tom Rolf
104;Franka Potente;1;Moritz Bleibtreu;2;Herbert Knaup;2;Nina Petri;0;Armin Rohde;2;23;Tom Tykwer;2;1;Stefan Arndt;3;Tom Tykwer;Mathilde Bonnefoy
105;Michael J. Fox;2;Christopher Lloyd;2;Lea Thompson;1;Crispin Glover;2;Thomas F. Wilson;2;51;Robert Zemeckis;2;1;Bob Gale;2;none;Arthur Schmidt
106;Arnold Schwarzenegger;2;Carl Weathers;0;Elpidia Carrillo;1;Bill Duke;2;Jesse Ventura;2;11;John McTiernan;0;1;Joel Silver;3;none;Mark Helfrich
107;Jason Statham;2;Brad Pitt;2;Vinnie Jones;2;Dennis Farina;2;Benicio del Toro;2;24;Guy Ritchie;2;1;Matthew Vaughn;1;none;Jon Harris
108;Juliette Binoche;1;Benoît Régent;0;Florence Pernel;1;Charlotte Véry;0;Hélène Vincent;1;11;Krzysztof Kieślowski;2;1;Marin Karmitz;1;Krzysztof Kieślowski;Jacques Witta
109;Zbigniew Zamachowski;2;Julie Delpy;1;Janusz Gajos;2;Jerzy Stuhr;0;Aleksander Bardini;2;10;Krzysztof Kieślowski;2;1;Marin Karmitz;1;Krzysztof Kieślowski;Urszula Lesiak
110;Irène Jacob;1;Jean-Louis Trintignant;2;Jean-Pierre Lorit;2;Frédérique Feder;0;Samuel Le Bihan;2;10;Krzysztof Kieślowski;2;1;Marin Karmitz;1;Krzysztof Kieślowski;Jacques Witta
111;Al Pacino;2;Steven Bauer;2;Michelle Pfeiffer;1;Mary Elizabeth Mastrantonio;1;Robert Loggia;2;63;Brian De Palma;2;1;Martin Bregman;1;Oliver Stone;Gerald B. Greenberg
112;Peter Gantzler;2;Sara Indrio Jensen;1;Ann Eleonora Jørgensen;1;Anders W. Berthelsen;2;Anette Støvelbæk;0;18;Lone Scherfig;1;1;Ib Tardini;1;none;Gerd Tjur
113;Oh Young;0;Kim Ki-duk;2;Kim Young-min;0;Ha Yeo-jin;0;Seo Jae-kyeong;2;10;Kim Ki-duk;2;1;Seung-jae Lee;3;none;Kim Ki-duk
114;Julia Roberts;1;Richard Gere;2;Ralph Bellamy;2;Jason Alexander;2;Héctor Elizondo;2;17;Garry Marshall;2;1;Arnon Milchan;2;none;Raja Gosnell
115;Jeff Bridges;2;John Goodman;2;Julianne Moore;1;Steve Buscemi;2;Philip Seymour Hoffman;2;41;Joel Coen;0;1;Joel Coen;2;none;Joel Coen
116;Jonathan Rhys Meyers;2;Scarlett Johansson;1;Emily Mortimer;1;Brian Cox;2;Penelope Wilton;1;30;Woody Allen;2;1;Letty Aronson;4;none;Alisa Lepselter
117;Kevin Costner;2;Sean Connery;2;Robert De Niro;2;Andy García;2;Charles Martin Smith;2;33;Brian De Palma;2;1;Art Linson;1;none;Gerald B. Greenberg
118;Johnny Depp;2;Freddie Highmore;2;David Kelly;2;AnnaSophia Robb;1;Julia Winter;1;31;Tim Burton;2;1;Richard D. Zanuck;3;John August;Chris Lebenzon
120;Elijah Wood;2;Ian McKellen;2;Cate Blanchett;1;Orlando Bloom;2;Sean Bean;2;26;Peter Jackson;2;1;Barrie M. Osborne;2;Peter Jackson;John Gilbert
121;Elijah Wood;2;Ian McKellen;2;Viggo Mortensen;2;Liv Tyler;1;Orlando Bloom;2;26;Peter Jackson;2;1;Peter Jackson;2;Peter Jackson;Michael Horton
122;Elijah Wood;2;Ian McKellen;2;Viggo Mortensen;2;Liv Tyler;1;Orlando Bloom;2;28;Peter Jackson;2;1;Peter Jackson;2;Peter Jackson;Jamie Selkirk
123;Christopher Guard;2;William Squire;2;Michael Scholes;0;John Hurt;2;Simon Chandler;2;18;Ralph Bakshi;2;1;Saul Zaentz;2;Chris Conkling;Donald W. Ernst
124;Grażyna Szapołowska;0;Maria Pakulnis;0;Aleksander Bardini;2;Jerzy Radziwiłowicz;0;Artur Barciś;0;6;Krzysztof Kieślowski;2;1;Jacek Szeligowski;1;none;Krystyna Rutkowska
125;none;0;none;0;none;0;none;0;none;0;0;Krzysztof Kieślowski;2;1;none;0;none;none
126;Wacław Ulewicz;0;Mirosław Siedler;0;Paweł Nowisz;0;Tadeusz Bartosik;0;Zbigniew Bielski;0;5;Krzysztof Kieślowski;2;1;Andrzej Rafal Waltenberger;1;Hanna Krall;Elżbieta Kurkowska
127;Zbigniew Zapasiewicz;2;Marzena Trybała;0;Jerzy Stuhr;0;Adam Ferency;2;Tadeusz Łomnicki;2;18;Krzysztof Kieślowski;2;1;Jacek Szeligowski;1;none;Elżbieta Kurkowska
128;Yōji Matsuda;0;Yuriko Ishida;1;Yūko Tanaka;0;Kaoru Kobayashi;2;Masahiko Nishimura;2;14;Hayao Miyazaki;2;1;Toshio Suzuki;1;Hayao Miyazaki;Hayao Miyazaki
129;Rumi Hiiragi;0;Miyu Irino;0;Mari Natsuki;1;Takashi Naito;0;Yasuko Sawaguchi;0;19;Hayao Miyazaki;2;1;John Lasseter;2;Hayao Miyazaki;Takeshi Seyama
132;Mick Jagger;2;Keith Richards;2;Charlie Watts;2;Bill Wyman;2;Mick Taylor;2;34;Albert Maysles;2;3;none;0;none;Joanne Burke
133;John F. Kennedy;2;Hubert H. Humphrey;2;Joseph Julian;2;Jacqueline Kennedy;1;Robert F. Kennedy;2;6;Robert Drew;2;1;Robert Drew;1;none;D.A. Pennebaker
134;George Clooney;2;John Turturro;2;Tim Blake Nelson;2;John Goodman;2;Holly Hunter;1;23;Joel Coen;0;1;Ethan Coen;1;Joel Coen;Joel Coen
135;Bob Dylan;2;Albert Grossman;0;Bob Neuwirth;2;Joan Baez;1;Alan Price;0;8;D.A. Pennebaker;2;1;John Court;2;none;none
136;Harry Earles;2;Daisy Earles;1;Olga Baclanova;1;Henry Victor;0;Leila Hyams;1;23;Tod Browning;2;1;Tod Browning;2;none;Basil Wrangell
137;Bill Murray;2;Andie MacDowell;1;Chris Elliott;2;Stephen Tobolowsky;2;Brian Doyle-Murray;2;30;Harold Ramis;2;1;Trevor Albert;2;Danny Rubin;Pembroke J. Herring
138;Bela Lugosi;0;Helen Chandler;1;David Manners;2;Dwight Frye;2;Edward Van Sloan;2;26;Tod Browning;2;1;Tod Browning;3;Louis Bromfield;Milton Carruth
139;Anders W. Berthelsen;2;Iben Hjejle;1;Jesper Asholt;0;Sofie Gråbøl;1;Emil Tarding;0;31;Søren Kragh-Jacobsen;2;1;Birgitte Hald;2;none;Valdís Óskarsdóttir
140;Gael García Bernal;2;Fele Martínez;2;Daniel Giménez Cacho;2;Lluís Homar;2;Francisco Maestre;2;20;Pedro Almodóvar;2;1;Agustín Almodóvar;2;Pedro Almodóvar;José Salcedo
141;Jake Gyllenhaal;2;Jena Malone;1;Patrick Swayze;2;Maggie Gyllenhaal;1;Drew Barrymore;1;28;Richard Kelly;2;1;Adam Fields;3;Richard Kelly;Sam Bauer
142;Heath Ledger;2;Jake Gyllenhaal;2;Randy Quaid;2;Michelle Williams;1;Anne Hathaway;1;15;Ang Lee;2;1;Diana Ossana;2;Diana Ossana;Geraldine Peroni
143;Lew Ayres;2;Arnold Lucy;2;John Wray;2;Louis Wolheim;2;Ben Alexander;2;21;Lewis Milestone;0;1;Carl Laemmle Jr.;1;George Abbott;Milton Carruth
144;Bruno Ganz;2;Otto Sander;2;Solveig Dommartin;0;Curt Bois;2;Peter Falk;2;10;Wim Wenders;2;1;Wim Wenders;2;Wim Wenders;Peter Przygodda
145;Emily Watson;0;Stellan Skarsgård;2;Katrin Cartlidge;1;Jean-Marc Barr;2;Adrian Rawlins;2;20;Lars von Trier;2;1;Peter Aalbæk Jensen;1;none;Anders Refn
146;Chow Yun-fat;2;Michelle Yeoh;1;Zhang Ziyi;1;Chang Chen;2;Cheng Pei-Pei;1;12;Ang Lee;2;1;William Kong;3;Wang Hui-Ling;Tim Squyres
147;Jean-Pierre Léaud;2;Claire Maurier;1;Albert Rémy;0;Georges Flamant;2;Patrick Auffay;0;22;François Truffaut;0;1;François Truffaut;1;none;Marie-Josèphe Yoyotte
148;Sarah Polley;1;Tim Robbins;2;Javier Cámara;0;Eddie Marsan;2;Steven Mackintosh;2;13;Isabel Coixet;1;1;Esther García;1;none;Irene Blecua
149;Mitsuo Iwata;0;Nozomu Sasaki;0;Mami Koyama;1;Tesshou Genda;2;Hiroshi Ohtake;0;12;Katsuhiro Ōtomo;2;1;Haruyo Kanesaku;6;Katsuhiro Ōtomo;Takeshi Seyama
150;Nick Nolte;2;Eddie Murphy;2;Annette O'Toole;1;Frank McRae;2;James Remar;2;55;Walter Hill;0;1;Joel Silver;2;Jeb Stuart;Freeman A. Davies
152;William Shatner;2;Leonard Nimoy;2;George Takei;0;James Doohan;2;Walter Koenig;2;16;Robert Wise;2;1;Gene Roddenberry;2;Harold Livingston;Todd C. Ramsay
153;Bill Murray;2;Scarlett Johansson;1;Anna Faris;1;Giovanni Ribisi;2;Akiko Takeshita;0;22;Sofia Coppola;1;1;Francis Ford Coppola;3;Sofia Coppola;Sarah Flack
154;William Shatner;2;Leonard Nimoy;2;DeForest Kelley;0;James Doohan;2;George Takei;0;16;Nicholas Meyer;2;1;Robert Sallin;1;Jack B. Sowards;William Paul Dornisch
155;Christian Bale;2;Michael Caine;2;Heath Ledger;2;Aaron Eckhart;2;Gary Oldman;2;103;Christopher Nolan;2;1;Charles Roven;4;Christopher Nolan;Lee Smith
156;Jamie Sives;2;Adrian Rawlins;2;Shirley Henderson;1;Lisa McKinlay;0;Mads Mikkelsen;2;16;Lone Scherfig;1;1;Sisse Graum Jørgensen;1;Anders Thomas Jensen;Gerd Tjur
157;William Shatner;2;Leonard Nimoy;2;DeForest Kelley;0;James Doohan;2;George Takei;0;18;Leonard Nimoy;2;1;Harve Bennett;1;none;Robert F. Shugrue
158;Til Schweiger;2;Jan Josef Liefers;2;Thierry van Werveke;2;Moritz Bleibtreu;2;Huub Stapel;2;26;Thomas Jahn;2;1;Til Schweiger;5;none;Alexander Berner
159;Til Schweiger;2;Katja Riemann;1;Joachim Król;0;Rufus Beck;2;Armin Rohde;2;22;Sönke Wortmann;0;1;Bernd Eichinger;1;Sönke Wortmann;Ueli Christen
160;none;0;Jeanne-Joséphine Lumière;0;none;0;none;0;none;0;1;Louis Lumière;0;2;none;0;none;none
161;George Clooney;2;Brad Pitt;2;Matt Damon;2;Andy García;2;Julia Roberts;1;21;Steven Soderbergh;2;1;Jerry Weintraub;1;Ted Griffin;Stephen Mirrione
162;Johnny Depp;2;Winona Ryder;1;Dianne Wiest;1;Alan Arkin;2;Anthony Michael Hall;2;28;Tim Burton;2;1;Denise Di Novi;2;Caroline Thompson;Colleen Halsey
163;George Clooney;2;Brad Pitt;2;Catherine Zeta-Jones;1;Julia Roberts;1;Andy García;2;23;Steven Soderbergh;2;1;Jerry Weintraub;1;George Nolfi;Stephen Mirrione
164;Audrey Hepburn;0;George Peppard;2;Patricia Neal;1;Buddy Ebsen;2;Martin Balsam;2;15;Blake Edwards;2;1;Martin Jurow;2;George Axelrod;Howard A. Smith
165;Michael J. Fox;2;Christopher Lloyd;2;Lea Thompson;1;Elisabeth Shue;1;James Tolkan;2;55;Robert Zemeckis;2;1;Neil Canton;2;Bob Gale;Harry Keramidas
166;Claude Brasseur;2;Brigitte Fossey;1;Sophie Marceau;1;Denise Grey;1;Dominique Lavanant;0;16;Claude Pinoteau;2;1;Alain Poiré;1;none;Marie-Josèphe Yoyotte
167;Jeff Bridges;2;Kevin Spacey;2;Mary McCormack;1;Alfre Woodard;1;Ajay Naidu;2;30;Iain Softley;2;1;Lawrence Gordon;3;Charles Leavitt;Craig McKay
168;William Shatner;2;Leonard Nimoy;2;DeForest Kelley;0;James Doohan;2;George Takei;0;15;Leonard Nimoy;2;1;Harve Bennett;1;Nicholas Meyer;Peter E. Berger
169;Kevin Peter Hall;2;Danny Glover;2;Gary Busey;2;Rubén Blades;2;María Conchita Alonso;1;33;Stephen Hopkins;2;1;Joel Silver;3;none;Mark Goldblatt
170;Cillian Murphy;2;Naomie Harris;1;Noah Huntley;2;Christopher Dunne;2;Emma Hitching;1;22;Danny Boyle;2;1;Andrew Macdonald;1;Alex Garland;Chris Gill
171;Claude Brasseur;2;Brigitte Fossey;1;Sophie Marceau;1;Denise Grey;1;Pierre Cosso;2;26;Claude Pinoteau;2;1;Marcel Dassault;2;none;Marie-Josèphe Yoyotte
172;William Shatner;2;Leonard Nimoy;2;DeForest Kelley;0;James Doohan;2;George Takei;0;14;William Shatner;2;1;Harve Bennett;1;David Loughery;Peter E. Berger
173;Kirk Douglas;2;James Mason;2;Paul Lukas;2;Peter Lorre;2;Robert J. Wilke;2;20;Richard Fleischer;0;1;Walt Disney;1;Earl Felton;Elmo Williams
174;William Shatner;2;Leonard Nimoy;2;DeForest Kelley;0;James Doohan;2;George Takei;0;24;Nicholas Meyer;2;1;Steven-Charles Jaffe;2;Nicholas Meyer;William Hoy
175;Jean-Marc Barr;2;Jean Reno;2;Rosanna Arquette;1;Paul Shenar;2;Sergio Castellitto;2;22;Luc Besson;2;1;Patrice Ledoux;2;none;Olivier Mauffroy
176;Cary Elwes;2;Danny Glover;2;Monica Potter;1;Michael Emerson;2;Ken Leung;2;17;James Wan;2;1;Mark Burg;3;none;Kevin Greutert
177;Jeff Bridges;2;Robin Williams;2;Mercedes Ruehl;1;Amanda Plummer;1;Michael Jeter;2;25;Terry Gilliam;2;1;Debra Hill;2;none;Lesley Walker
178;Jeff Bridges;2;Tommy Lee Jones;2;Suzy Amis;1;Lloyd Bridges;2;Forest Whitaker;2;15;Stephen Hopkins;2;1;Pen Densham;3;none;Tim Wellburn
179;Nicole Kidman;1;Sean Penn;2;Catherine Keener;1;Jesper Christensen;2;Yvan Attal;2;21;Sydney Pollack;2;1;Tim Bevan;3;none;William Steinkamp
180;Tom Cruise;2;Colin Farrell;2;Samantha Morton;1;Max von Sydow;2;Lois Smith;1;23;Steven Spielberg;2;1;Jan de Bont;4;Scott Frank;Michael Kahn
182;George Clooney;2;Cate Blanchett;1;Tobey Maguire;2;Tony Curran;2;Leland Orser;2;14;Steven Soderbergh;2;1;none;0;Paul Attanasio;Steven Soderbergh
